project_name,x,y,lat_adj,lon_adj
THE AVENIR,28375.271325216298,30764.3479988755,1.2944963452287432,103.83669055374268
BAYWATER,39036.525907514224,35498.34938184434,1.3373069689557782,103.93248815887918
THE PEAK@BALMEG,22480.474043671176,29487.908410243686,1.2829521920534412,103.78372349075102
MYRA,31843.86482952955,34752.68557749875,1.3305652220259852,103.8678578529135
THE MEYERISE,34625.41510007902,31002.184928749673,1.29664655697172,103.89285082704176
MIRO,29008.6947577223,32912.54934912735,1.31392390722679,103.842382205469
THE ESPIRA,37049.5514794352,32724.658625594664,1.3122233768595166,103.91463323816033
LE REGAL,33227.317114215344,32756.200563523,1.31250951691186,103.8802886034135
HILLINGTON GREEN,20371.1696988423,37963.02778672488,1.3595976798060934,103.76476847692278
THE VERANDAH RESIDENCES,22615.255472064964,29094.067841844175,1.2793904606762587,103.78493462087576
SELETARIS,27017.118639397424,46418.385955859674,1.4360658636250887,103.82448644948337
THE TAPESTRY,38623.790055818325,37305.27116540922,1.35364825266025,103.92878012674744
VARSITY PARK CONDOMINIUM,20713.482861009597,30839.97389605529,1.29517943002076,103.7678460811396
RIPPLE BAY,42243.63995926208,39996.45202291073,1.377984763130589,103.96130803295999
TOWNHOUSE APARTMENTS,29036.25445306025,32394.3950804835,1.309237901977545,103.842629825806
HARBOUR SUITES,27350.89302973725,28302.88604247105,1.27223574230933,103.82748612410751
CAVENAGH HOUSE,28821.014931410602,32248.809302344,1.30792128200834,103.8406957909455
THE MAKENA,34818.709153081996,31060.8359272303,1.2971769339538275,103.89458767062025
POLLEN & BLEU,26230.538477048998,34419.623679605116,1.3275532279907778,103.8174192249708
CAPE ROYALE,28691.02172526169,24866.987659361,1.2411626755116012,103.83952758035332
BARTLEY VUE,33609.18969032357,35846.36351134563,1.3404557789343798,103.88372048139934
THE WATERINA,34389.62381271386,32810.199297236664,1.3129976428693348,103.8907325106961
TRELLIS TOWERS,29162.67720749275,34754.95587301905,1.330585974669975,103.843765884254
